course_code,requisites
ACCT*1240,ACCT*1220 or ACCT*2220 - Must be completed prior to taking this course.
ACCT*2230,ACCT*1220 - Must be completed prior to taking this course.
ACCT*2290,4.00 credits including (ACCT*1240 or ACCT*2230) - Must be completed prior to taking this course.
ACCT*3230,ACCT*2230 - Must be completed prior to taking this course.
ACCT*3280,ACCT*3330 - Must be completed prior to taking this course.
ACCT*3330,ACCT*1220 or ACCT*2220 - Must be completed prior to taking this course.
ACCT*3340,ACCT*3330 - Must be completed prior to taking this course.
ACCT*3350,ACCT*3330 - Must be completed prior to taking this course.
ACCT*3400,9.00 credits - Must be completed prior to taking this course.
ACCT*4020,"ACCT*2230, MGMT*3020 - Must be completed prior to taking this course."
ACCT*4220,"(ACCT*3330 or BUS*3330), (ACCT*3340 or BUS*3340) - Must be completed prior to taking this course."
ACCT*4270,ACCT*3280 or BUS*3280 - Must be completed prior to taking this course.
ACCT*4290,ACCT*3280 or BUS*4280 - Must be completed prior to taking this course.
ACCT*4340,15.00 credits including ACCT*3340 - Must be completed prior to taking this course.
ACCT*4440,"15.00 credits including ACCT*3280, ACCT*3340, ACCT*3350 - Must be completed prior to taking this course."
ACCT*6700,"ACCT*6100, ACCT*6200 - Must be completed prior to taking this course."
AGR*1350,"1 of BIOL*1050, BIOL*1070, BIOL*1080 BIOL*1090 - Must be completed prior to taking this course."
AGR*2050,"(AGR*1110 or AGR*2150), (BIOL*1050 or BIOL*1070) - Must be completed prior to taking this course."
AGR*2150,4.00 credits - Must be completed prior to taking this course.
AGR*2320,2.50 credits - Must be completed prior to taking this course.
AGR*2350,"(2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090) - Must be completed prior to taking this course."
AGR*2470,BIOL*1050 or BIOL*1070 - Must be completed prior to taking this course.
AGR*2500,(AGR*1110 or AGR*1250) or registration in International Development - Must be completed prior to taking this course.
AGR*3010,10.00 credits - Must be completed prior to taking this course.
AGR*3200,9.50 credits - Must be completed prior to taking this course.
AGR*3450,"Completion of 7.50 credits including (1 of GEOG*2460, STAT*2040 , STAT*2060, STAT*2080) - Must be completed prior to taking this course."
AGR*4010,15.00 credits - Must be completed prior to taking this course.
AGR*4020,"AGR*2470, STAT*2040, (BIOL*1050 or BIOL*1070) - Must be completed prior to taking this course."
AGR*4450,10.00 credits - Must be completed prior to taking this course.
AGR*4460,AGR*4450 - Must be completed prior to taking this course.
AGR*4600,12.50 credits - Must be completed prior to taking this course.
AGR*6010,AGR*6020 - Must be taken either prior to or at the same time as this course.
AGR*6020,AGR*6010 - Must be taken either prior to or at the same time as this course.
DAGR*2020,DAGR*1070 - Must be completed prior to taking this course.
DAGR*2200,"DAGR*1200, DAGR*1300 - Must be completed prior to taking this course."
DAGR*2210,DAGR*1200 - Must be completed prior to taking this course.
DAGR*3000,DAGR*2000 - Must be completed prior to taking this course.
DAGR*3040,DAGR*2000 - Must be completed prior to taking this course.
DAGR*3080,DAGR*1070 - Must be completed prior to taking this course.
DAGR*3170,5.00 credits including DAGR*2170 - Must be completed prior to taking this course.
DAGR*3180,5.00 credits including DAGR*2000 - Must be completed prior to taking this course.
DAGR*3200,"DAGR*1200, DAGR*1300 - Must be completed prior to taking this course."
DAGR*3210,DAGR*1200 - Must be completed prior to taking this course.
DAGR*3260,"DAGR*1200, (1 of DAGR*1300, DHRT*2230, DHRT*3230) - Must be completed prior to taking this course."
DAGR*3370,"DAGR*1000, DAGR*2000 - Must be completed prior to taking this course."
ANSC*2210,"1 of AGR*1350, AGR*2350, EQN*1010 - Must be completed prior to taking this course."
ANSC*2340,"2 of BIOL*1050, BIOL*1070, BIOL*1080, BIOL*1090 - Must be completed prior to taking this course."
ANSC*3040,ANSC*3080 - Must be completed prior to taking this course.
ANSC*3050,AGR*2350 or ZOO*2090 - Must be completed prior to taking this course.
ANSC*3080,"1 of BIOC*2580, EQN*2040, EQN*2050 - Must be completed prior to taking this course."
ANSC*3090,ANSC*1210 or ANSC*2210 - Must be completed prior to taking this course.
ANSC*3120,NUTR*3210 - Must be taken either prior to or at the same time as this course.
ANSC*3170,NUTR*3210 - Must be completed prior to taking this course.
ANSC*3270,ANSC*3080 - Must be completed prior to taking this course.
ANSC*4010,"15.00 credits including ANSC*3080, (ANSC*1210 or ANSC*2210) - Must be completed prior to taking this course."
ANSC*4040,"ANSC*3120, STAT*2040 - Must be completed prior to taking this course."
ANSC*4060,"NUTR*3210, 0.50 credits in Statistics - Must be completed prior to taking this course."
ANSC*4090,"ANSC*3080, ANSC*3090 - Must be completed prior to taking this course."
ANSC*4100,ANSC*3080 - Must be completed prior to taking this course.
ANSC*4230,"ANSC*3080, ANSC*3120, MBG*3060 - Must be completed prior to taking this course."
ANSC*4260,ANSC*3120 - Must be completed prior to taking this course.
ANSC*4270,ANSC*3120 - Must be completed prior to taking this course.
ANSC*4280,ANSC*3120 - Must be completed prior to taking this course.
ANSC*4290,ANSC*3120 - Must be completed prior to taking this course.
ANSC*4350,14.00 credits including ANSC*3080 - Must be completed prior to taking this course.
ANSC*4470,NUTR*3210 - Must be completed prior to taking this course.
ANSC*4490,ANSC*3080 - Must be completed prior to taking this course.
ANSC*4560,NUTR*3210 - Must be completed prior to taking this course.
ANSC*4610,15.00 credits including 2.00 in ANSC or EQN - Must be completed prior to taking this course.
ANSC*4650,ANSC*3080 - Must be completed prior to taking this course.
ANSC*4700,14.00 credits - Must be completed prior to taking this course.
ANTH*2180,"1 of ANTH*1150, IDEV*1000, SOC*1100 - Must be completed prior to taking this course."
ANTH*2230,ANTH*1150 - Must be completed prior to taking this course.
ANTH*2660,"1 of ANTH*1150, IDEV*1000, IES*1010, SOC*1100 - Must be completed prior to taking this course."
ANTH*3550,"SOAN*2120, (1 of ANTH*2160, ANTH*2180, ANTH*2230, ANTH*2660) - Must be completed prior to taking this course."
ANTH*3650,"(1 of ANTH*2160, ANTH*2180, IDEV*2200, IES*2010), (1 of ANTH*2230, ANTH*2660, HIST*2090, IDEV*2000, IDEV*2400) - Must be completed prior to taking this course."
ANTH*3690,"ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120 - Must be completed prior to taking this course."
ANTH*3770,"ANTH*2230, (ANTH*2160 or ANTH*2180), SOAN*2120 - Must be completed prior to taking this course."
ANTH*3840,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120 - Must be completed prior to taking this course."
ANTH*3850,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120 - Must be completed prior to taking this course."
ANTH*3950,10.00 credits - Must be completed prior to taking this course.
ANTH*4300,"12.50 credits including ANTH*3690, SOAN*3070 - Must be completed prior to taking this course."
ANTH*4440,"12.50 credits including (1 of ANTH*3690, IDEV*2000, IDEV*2300, ONEH*3000), (1 of GEOG*2260, POLS*2650, IDEV*2100, SOAN*2120) - Must be completed prior to taking this course."
ANTH*4540,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070 - Must be completed prior to taking this course."
ANTH*4550,"12.50 credits including (1 of ANTH*3690, IDEV*2000, IDEV*2300, ONEH*3000), (1 of GEOG*2260, POLS*2650, IDEV*2100, SOAN*2120, SOAN*3070) - Must be completed prior to taking this course."
ANTH*4640,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070 - Must be completed prior to taking this course."
ANTH*4700,"12.50 credits including ANTH*3690, SOAN*3070 - Must be completed prior to taking this course."
ANTH*4740,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070 - Must be completed prior to taking this course."
ANTH*4840,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070 - Must be completed prior to taking this course."
ANTH*4880,12.50 credits - Must be completed prior to taking this course.
ANTH*4890,12.50 credits - Must be completed prior to taking this course.
ARTH*2010,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2060,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2070,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2120,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2300,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2480,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2550,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*2610,"1 of (2.00 credits, ARTH*1510, ARTH*1520) - Must be completed prior to taking this course."
ARTH*3230,7.50 credits or 1.50 credits in Art History. - Must be completed prior to taking this course.
ARTH*3360,7.50 credits or 1.50 credits in Art History - Must be completed prior to taking this course.
ARTH*3720,7.50 credits or 1.50 credits in Art History - Must be completed prior to taking this course.
ARTH*4600,"14.00 credits, including 6.00 credits in Art History. - Must be completed prior to taking this course."
ASCI*2050,ASCI*1120 - Must be completed prior to taking this course.
ASCI*3000,ASCI*2050 - Must be completed prior to taking this course.
ASCI*3100,ASCI*2050 - Must be completed prior to taking this course.
ASCI*3200,ASCI*2050 - Must be completed prior to taking this course.
ASCI*3700,A minimum of 9.00 credits. - Must be completed prior to taking this course.
ASCI*4010,"12.00 credits, including (1 of ASCI*3000, ASCI*3100, ASCI*3200, ASCI*3700); cumulative average of 75% - Must be completed prior to taking this course."
ASCI*4020,12.00 credits including 0.50 of ASCI at the 3000 level - Must be completed prior to taking this course.
ASCI*4040,12.00 credits including 0.50 of ASCI at the 3000 level - Must be completed prior to taking this course.
ASCI*4050,12.00 credits including 0.50 of ASCI at the 3000 level - Must be completed prior to taking this course.
AHSS*1010,AHSS*1000 - Must be completed prior to taking this course.
AHSS*1200,6.00 credits - Must be completed prior to taking this course.
BIOC*4050,BIOC*3560 - Must be completed prior to taking this course.
BIOC*4520,BIOC*3560 or BIOC*3570 - Must be completed prior to taking this course.
BIOC*4540,"BIOC*3560 (may be taken concurrently), BIOC*3570 - Must be completed prior to taking this course."
BIOC*4580,BIOC*3560 or BIOC*3570 - Must be completed prior to taking this course.
BINF*6999,"BINF*6110, BINF*6210 - Must be completed prior to taking this course."
BIOL*2060,4.00 credits including BIOL*1070 - Must be completed prior to taking this course.
BIOL*3010,"BIOL*2060, (STAT*2040 or STAT*2230) - Must be completed prior to taking this course."
BIOL*3040,BIOL*2400 - Must be completed prior to taking this course.
BIOL*3060,"10.00 credits including BIOL*2060, (1 of GEOG*2460, STAT*2040, STAT*2060, STAT*2230) - Must be completed prior to taking this course."
BIOL*3130,BIOL*2060 - Must be completed prior to taking this course.
BIOL*3300,"MBG*2040, (1 of STAT*2040, STAT*2120, STAT*2230) - Must be completed prior to taking this course."
BIOL*3450,"BIOL*2060, CHEM*1050 - Must be completed prior to taking this course."
BIOL*3670,"1 of ANSC*2340, BIOL*2060, BIOL*2400, ZOO*2090 - Must be completed prior to taking this course."
BIOL*3680,BIOL*3670 - Must be completed prior to taking this course.
BIOL*4020,14.00 credits - Must be completed prior to taking this course.
BIOL*4110,"BIOL*3010, BIOL*3060, (STAT*2040 or STAT*2230) - Must be completed prior to taking this course."
BIOL*4120,"BIOL*2060, BIOL*2400 - Must be completed prior to taking this course."
BIOL*4150,BIOL*3060 or BIOL*3130 - Must be completed prior to taking this course.
BIOL*4410,0.50 credits in Ecology - Must be completed prior to taking this course.
BIOL*4500,15.00 credits including BIOL*4150 - Must be completed prior to taking this course.
BIOM*3000,"1 of BIOM*3200, HK*3810, HK*3940, NEUR*2000, PHYS*2030, PSYC*2410, ZOO*3200, ZOO*3600 - Must be completed prior to taking this course."
BIOM*3010,"1 of BIOL*1070, BIOL*1080, BIOL*1090 - Must be completed prior to taking this course."
BIOM*3040,"(BIOL*1070, BIOL*1090), (1 of BIOL*1080, BIOM*3200, HK*3810, HK*3940), (1of BIOM*3010, HK*3401, HK*3501, ZOO*2090) - Must be completed prior to taking this course."
BIOM*3090,"BIOC*2580, (1 of ANSC*3080, BIOM*3200, HK*3810, ZOO*3200, ZOO*3600) - Must be completed prior to taking this course."
BIOM*3200,BIOC*2580 - Must be completed prior to taking this course.
BIOM*3210,"7.50 credits including (1 of BIOL*1070, BIOL*1080, BIOL*1090) - Must be completed prior to taking this course."
BIOM*4030,"BIOC*2580, [1 of BIOM*3200, HK*3810, HK*3940, (ZOO*3200, ZOO*3210), ZOO*3600] - Must be completed prior to taking this course."
BIOM*4050,"1 of BIOM*3200, HK*3810, HK*3940 - Must be completed prior to taking this course."
BIOM*4070,"(MCB*2050 or MCB*2210), (1of ANSC*3080, BIOM*3200, HK*3810, HK*3940) - Must be completed prior to taking this course."
BIOM*4090,BIOM*3090 - Must be completed prior to taking this course.
BIOM*4110,"(1 of BIOM*3010, HK*3401, HK*3501, ZOO*2090), (1 of BIOM*3200, HK*3810, ZOO*3210, ZOO*3620) - Must be completed prior to taking this course."
BIOM*4150,"MBG*2040, MCB*2050, (1 of BIOM*3040, BIOM*4070, ZOO*3000) - Must be completed prior to taking this course."
BIOM*4180,"(1of BIOM*3200, HK*3810, HK*3940), (1 of BIOM*3010, HK*3401, HK*3501, ZOO*2090) - Must be completed prior to taking this course."
BIOM*4300,"14.00 credits including BIOL*1080, STAT*2040 - Must be completed prior to taking this course."
BIOM*4500,12.00 credits - Must be completed prior to taking this course.
