Department Name Variation,Official Code,Parent College
Agricultural & Resource Economics,FARE,Ontario Agricultural College
Agricultural and Resource Economics,FARE,Ontario Agricultural College
Associate VP Academic,UNIV,
Biomedical Science,NEUR,College of Biological Science
Business Administration,AHSS,College of Social and Applied Human Sciences
Business Administration,BADM,
Business Administration,SCMA,
Clinical Studies,UNIV,
Co-operative Education & Career Services,COOP,
College of Arts,ASCI,
College of Arts,BLCK,
College of Arts,CREA,
College of Arts,CTS,
College of Arts,HUMN,
College of Arts,IMPR,
College of Arts,SXGN,
College of Arts,UNIV,
College of Arts,WMST,
College of Arts.,UNIV,
College of Biological Science,BINF,
College of Biological Science,BIOL,
College of Biological Science,UNIV,
College of Engineering and Physical Sciences,BIOP,
College of Engineering and Physical Sciences,UNIV,
College of Social and Applied Human Sciences,IDEV,
College of Social and Applied Human Sciences,INDG,
College of Social and Applied Human Sciences,SOPR,
College of Social and Applied Human Sciences,UNIV,
Community Social Services,CSS,
Community Social Services,FCSS,
Dean's Office,AGR,Ontario Agricultural College
Dean's Office,ASCI,
Dean's Office,BINF,
Dean's Office,BIOL,
Dean's Office,BIOP,
Dean's Office,BLCK,
Dean's Office,CREA,
Dean's Office,CTS,
Dean's Office,DEQN,
Dean's Office,HUMN,
Dean's Office,IAEF,
Dean's Office,IDEV,
Dean's Office,IMPR,
Dean's Office,INDG,
Dean's Office,MGMT,
Dean's Office,SOPR,
Dean's Office,SXGN,
Dean's Office,UNIV,
Dean's Office,VETM,
Dean's Office,WMST,
Department of Animal Biosciences,AGR,Ontario Agricultural College
Department of Animal Biosciences,ANSC,Ontario Agricultural College
Department of Animal Biosciences,BIOL,
Department of Animal Biosciences,EQN,
Department of Animal Biosciences,MBG,
Department of Animal Biosciences,UNIV,
Department of Biomedical Sciences,BIOM,
Department of Biomedical Sciences,NEUR,College of Biological Science
Department of Biomedical Sciences,TOX,
Department of Biomedical Sciences,VETM,
Department of Chemistry,CHEM,
Department of Chemistry,NANO,
Department of Chemistry,TOX,
Department of Chemistry,XSEN,
Department of Clinical Studies,CLIN,
Department of Clinical Studies,VETM,
Department of Economics and Finance,ECON,
Department of Economics and Finance,FIN,
Department of Family Relations and Applied Nutrition,FRAN,
Department of Family Relations and Applied Nutrition,FRHD,
Department of Family Relations and Applied Nutrition,NUTR,
Department of Food,FARE,Ontario Agricultural College
Department of Food Science,FOOD,
Department of Food Science,FSQA,
Department of Food Science,NUTR,
Department of Food Science,UNIV,
Department of Geography,CONS,
Department of Geography,GEOG,
Department of History,HIST,
Department of Human Health & Nutritional Sciences & Department of Molecular and Cellular Biology,NEUR,College of Biological Science
Department of Human Health Sciences,HHNS,
Department of Human Health and Nutritional Sciences,BIOL,
Department of Human Health and Nutritional Sciences,FOOD,
