course_code,chunk
ACCT*1240,ACCT*1220
ACCT*1240,ACCT*2220
ACCT*2230,ACCT*1220
ACCT*3230,ACCT*2230
ACCT*3280,ACCT*3330
ACCT*3330,ACCT*1220
ACCT*3330,ACCT*2220
ACCT*3340,ACCT*3330
ACCT*3350,ACCT*3330
ACCT*4020,ACCT*2230
ACCT*4020,MGMT*3020
ACCT*4220,(ACCT*3330 or BUS*3330)
ACCT*4220,(ACCT*3340 or BUS*3340)
ACCT*4230,ACCT*3230
ACCT*4230,BUS*3230
ACCT*4270,ACCT*3280
ACCT*4270,BUS*3280
ACCT*4290,ACCT*3280
ACCT*4290,BUS*4280
ACCT*4350,ACCT*3350
ACCT*4350,BUS*3350
ACCT*6700,ACCT*6100
ACCT*6700,ACCT*6200
AGR*1350,BIOL*1070
AGR*2050,(AGR*1110 or AGR*2150)
AGR*2050,(BIOL*1050 or BIOL*1070)
AGR*2350,BIOL*1070
AGR*2350,BIOL*1080
AGR*2350,BIOL*1090
AGR*2470,BIOL*1050
AGR*2470,BIOL*1070
AGR*4020,AGR*2470
AGR*4020,STAT*2040
AGR*4020,(BIOL*1050 or BIOL*1070)
AGR*4460,AGR*4450
AGR*6010,AGR*6020
AGR*6020,AGR*6010
DAGR*2000,DAGR*1000
DAGR*2020,DAGR*1070
DAGR*2200,DAGR*1200
DAGR*2200,DAGR*1300
DAGR*2210,DAGR*1200
DAGR*3000,DAGR*2000
DAGR*3040,DAGR*2000
DAGR*3070,DAGR*1070
DAGR*3080,DAGR*1070
DAGR*3200,DAGR*1200
DAGR*3200,DAGR*1300
DAGR*3210,DAGR*1200
DAGR*3250,DAGR*1200
DAGR*3260,DAGR*1200
DAGR*3370,DAGR*1000
DAGR*3370,DAGR*2000
ANSC*2210,AGR*2350
ANSC*2210,EQN*1010
ANSC*2340,BIOL*1070
ANSC*2340,BIOL*1080
ANSC*2340,BIOL*1090
ANSC*3040,ANSC*3080
ANSC*3050,AGR*2350
ANSC*3050,ZOO*2090
ANSC*3080,EQN*2040
ANSC*3080,EQN*2050
ANSC*3090,ANSC*1210
ANSC*3090,ANSC*2210
ANSC*3120,NUTR*3210
ANSC*3170,NUTR*3210
ANSC*3180,NUTR*3210
ANSC*3270,ANSC*3080
ANSC*4040,ANSC*3120
ANSC*4040,STAT*2040
ANSC*4050,MBG*2040
ANSC*4050,MBG*2400
ANSC*4090,ANSC*3080
ANSC*4090,ANSC*3090
ANSC*4100,ANSC*3080
ANSC*4230,ANSC*3080
ANSC*4230,ANSC*3120
ANSC*4230,MBG*3060
ANSC*4260,ANSC*3120
ANSC*4270,ANSC*3120
ANSC*4280,ANSC*3120
ANSC*4290,ANSC*3120
ANSC*4470,NUTR*3210
ANSC*4490,ANSC*3080
ANSC*4560,NUTR*3210
ANSC*4650,ANSC*3080
ANSC*4710,ANSC*4700
ANTH*2180,IDEV*1000
ANTH*2180,SOC*1100
ANTH*2230,ANTH*1150
ANTH*2660,IDEV*1000
ANTH*2660,IES*1010
ANTH*2660,SOC*1100
ANTH*3550,SOAN*2120
ANTH*3690,ANTH*2230
ANTH*3690,(ANTH*2160 or ANTH*2180)
ANTH*3690,SOAN*2120
ANTH*3770,ANTH*2230
ANTH*3770,(ANTH*2160 or ANTH*2180)
ANTH*3770,SOAN*2120
ANTH*4910,ANTH*4900
ARAB*1110,ARAB*1100
AVC*6200,AVC*6100
ASCI*2050,ASCI*1120
ASCI*3000,ASCI*2050
ASCI*3100,ASCI*2050
ASCI*3200,ASCI*2050
ASCI*4710,ASCI*4700
AHSS*1010,AHSS*1000
BIOC*2580,CHEM*1050
BIOC*3560,BIOC*2580
BIOC*3570,BIOC*2580
BIOC*3570,(CHEM*2400 or CHEM*2480)
BIOC*4050,BIOC*3560
BIOC*4520,BIOC*3560
BIOC*4520,BIOC*3570
BIOC*4540,BIOC*3570
BIOC*4580,BIOC*3560
BIOC*4580,BIOC*3570
BINF*6999,BINF*6110
BINF*6999,BINF*6210
BIOL*2300,BIOL*1070
BIOL*2400,BIOL*1090
BIOL*2400,(BIOL*1050 or BIOL*1070)
BIOL*3010,BIOL*2060
BIOL*3010,(STAT*2040 or STAT*2230)
BIOL*3020,MBG*2040
BIOL*3040,BIOL*2400
BIOL*3130,BIOL*2060
BIOL*3300,MBG*2040
BIOL*3450,BIOL*2060
BIOL*3450,CHEM*1050
BIOL*3670,BIOL*2060
BIOL*3670,BIOL*2400
BIOL*3670,ZOO*2090
BIOL*3680,BIOL*3670
BIOL*4010,ZOO*3210
BIOL*4010,ZOO*3620
BIOL*4110,BIOL*3010
BIOL*4110,BIOL*3060
BIOL*4110,(STAT*2040 or STAT*2230)
BIOL*4120,BIOL*2060
BIOL*4120,BIOL*2400
BIOL*4150,BIOL*3060
BIOL*4150,BIOL*3130
BIOL*4350,BIOL*3450
BIOL*4610,BIOL*2060
BIOL*4700,BIOL*2060
BIOM*3000,HK*3810
BIOM*3000,HK*3940
BIOM*3000,NEUR*2000
BIOM*3000,PHYS*2030
BIOM*3000,PSYC*2410
BIOM*3000,ZOO*3200
BIOM*3000,ZOO*3600
BIOM*3010,BIOL*1080
BIOM*3010,BIOL*1090
BIOM*3040,"(BIOL*1070, BIOL*1090)"
BIOM*3090,BIOC*2580
BIOM*3200,BIOC*2580
BIOM*4030,BIOC*2580
BIOM*4050,HK*3810
BIOM*4050,HK*3940
BIOM*4070,(MCB*2050 or MCB*2210)
BIOM*4090,BIOM*3090
BIOM*4150,MBG*2040
BIOM*4150,MCB*2050
BIOM*4522,BIOM*4521
BIOT*6610,BIOT*6600
BLCK*2020,BLCK*1000
BLCK*2020,BLCK*2000
BLCK*3000,BLCK*2020
BLCK*3010,BLCK*2020
BOT*2000,BIOL*1050
BOT*2000,BIOL*1070
BOT*2100,BIOL*1070
BOT*2100,BIOL*1080
BOT*2100,BIOL*1090
BOT*3310,BIOL*1090
BOT*3310,(BIOL*1070 or BIOL*1080)
BOT*3410,BIOL*1080
BOT*3410,BIOL*1090
BOT*4380,BIOL*1090
BOT*4380,BIOC*2580
BUS*4560,BUS*4550
BUS*6810,BUS*6800
BADM*2010,BADM*1050
BADM*2010,BADM*1060
BADM*2020,BADM*1040
BADM*2020,MDST*1200
BADM*3030,BADM*1040
BADM*3030,BADM*2020
BADM*3080,BADM*1010
BADM*3080,BADM*1040
BADM*3090,BADM*1010
BADM*3090,BADM*3000
BADM*3120,BADM*2010
BADM*3120,(BADM*1050 or BADM*1060)
BADM*3130,BADM*3120
BADM*3150,BADM*2010
BADM*3150,SCMA*1000
BADM*3160,SCMA*1000
BADM*3160,BADM*3000
BADM*3240,BADM*2020
BADM*3240,BADM*2030
BADM*3270,BADM*3000
CHEM*1040,CHEM*1060
CHEM*1050,CHEM*1040
CHEM*1140,CHEM*1060
CHEM*1150,CHEM*1040
CHEM*1150,CHEM*1140
CHEM*2060,CHEM*1050
CHEM*2070,CHEM*2060
CHEM*2400,CHEM*1050
CHEM*2480,CHEM*1050
CHEM*2700,CHEM*1050
CHEM*2720,CHEM*1050
CHEM*2820,CHEM*1050
CHEM*2880,CHEM*1050
CHEM*3360,CHEM*1050
CHEM*3430,CHEM*2400
CHEM*3430,CHEM*2480
CHEM*3440,CHEM*3430
CHEM*3640,CHEM*2060
CHEM*3650,CHEM*3640
CHEM*3750,CHEM*2700
CHEM*3860,CHEM*2060
CHEM*3860,(MATH*2170 or MATH*2270)
CHEM*4010,CHEM*2700
CHEM*4010,CHEM*2720
CHEM*4020,CHEM*3430
CHEM*4020,CHEM*3750
CHEM*4400,CHEM*3430
CHEM*4620,CHEM*2060
CHEM*4630,BIOC*2580
CHEM*4630,CHEM*3640
CHEM*4720,CHEM*3750
CHEM*4730,CHEM*3750
CHEM*4740,BIOC*2580
CHEM*4740,CHEM*3750
CHEM*4880,CHEM*3860
CHEM*4880,(CHEM*2820 or PHYS*3240)
CHIN*1210,CHIN*1200
CHIN*1290,CHIN*1280
CHIN*2200,CHIN*1210
CHIN*2210,CHIN*2200
CLAS*2350,CLAS*1000
CLAS*2350,CLAS*2000
CLAS*2360,LAT*2000
CLAS*3020,CLAS*2000
CLAS*3020,HIST*2850
CLAS*3030,CLAS*1000
CLAS*3030,CLAS*2000
CLAS*3040,CLAS*1000
CLAS*3040,CLAS*2000
