course_code,chunk
ACCT*2290,4.00 credits including (ACCT*1240 or ACCT*2230)
ACCT*3400,9.00 credits
ACCT*4340,15.00 credits including ACCT*3340
ACCT*4440,"15.00 credits including ACCT*3280, ACCT*3340, ACCT*3350"
AGR*1350,1 of BIOL*1050
AGR*1350,BIOL*1080 BIOL*1090
AGR*2150,4.00 credits
AGR*2320,2.50 credits
AGR*2350,2 of BIOL*1050
AGR*2500,(AGR*1110 or AGR*1250) or registration in International Development
AGR*3010,10.00 credits
AGR*3200,9.50 credits
AGR*3450,"Completion of 7.50 credits including (1 of GEOG*2460, STAT*2040 , STAT*2060, STAT*2080)"
AGR*4010,15.00 credits
AGR*4450,10.00 credits
AGR*4600,12.50 credits
DAGR*2180,2.50 credits
DAGR*3170,5.00 credits including DAGR*2170
DAGR*3180,5.00 credits including DAGR*2000
DAGR*3250,"(1 of DAGR*1300, DHRT*2230, DHRT*3230)"
DAGR*3260,"(1 of DAGR*1300, DHRT*2230, DHRT*3230)"
DAGR*3510,"4.00 credits, registration in the Diploma Program in Agriculture"
ANSC*2210,1 of AGR*1350
ANSC*2340,2 of BIOL*1050
ANSC*3080,1 of BIOC*2580
ANSC*4010,"15.00 credits including ANSC*3080, (ANSC*1210 or ANSC*2210)"
ANSC*4060,"NUTR*3210, 0.50 credits in Statistics"
ANSC*4350,14.00 credits including ANSC*3080
ANSC*4610,15.00 credits including 2.00 in ANSC or EQN
ANSC*4700,14.00 credits
ANTH*2180,1 of ANTH*1150
ANTH*2660,1 of ANTH*1150
ANTH*3550,"(1 of ANTH*2160, ANTH*2180, ANTH*2230, ANTH*2660)"
ANTH*3650,"(1 of ANTH*2160, ANTH*2180, IDEV*2200, IES*2010)"
ANTH*3650,"(1 of ANTH*2230, ANTH*2660, HIST*2090, IDEV*2000, IDEV*2400)"
ANTH*3840,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120"
ANTH*3850,"10.00 credits including (ANTH*2160, ANTH*2180), SOAN*2120"
ANTH*3950,10.00 credits
ANTH*4300,"12.50 credits including ANTH*3690, SOAN*3070"
ANTH*4440,"12.50 credits including (1 of ANTH*3690, IDEV*2000, IDEV*2300, ONEH*3000), (1 of GEOG*2260, POLS*2650, IDEV*2100, SOAN*2120)"
ANTH*4540,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070"
ANTH*4550,"12.50 credits including (1 of ANTH*3690, IDEV*2000, IDEV*2300, ONEH*3000), (1 of GEOG*2260, POLS*2650, IDEV*2100, SOAN*2120, SOAN*3070)"
ANTH*4640,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070"
ANTH*4700,"12.50 credits including ANTH*3690, SOAN*3070"
ANTH*4740,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070"
ANTH*4840,"12.50 credits including (ANTH*3690 or SOC*3310), SOAN*3070"
ANTH*4880,12.50 credits
ANTH*4890,12.50 credits
ANTH*4900,"15.00 credits including ANTH*3690, (SOAN*3070 or SOAN*3120)"
ARTH*2010,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2060,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2070,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2120,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2150,2.00 credits or (ARTH*1510 or ARTH*1520)
ARTH*2300,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2480,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2540,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2550,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*2610,"1 of (2.00 credits, ARTH*1510, ARTH*1520)"
ARTH*3040,7.50 credits or 1.50 credits in Art History
ARTH*3230,7.50 credits or 1.50 credits in Art History
